# time dt fps
139.6865 16.91394 59.12283
139.8897 16.75448 59.68553
140.0934 17.4235 57.39376
140.3013 16.98485 58.876
140.5067 16.65973 60.02498
140.7149 16.98616 58.87147
140.9209 17.95643 55.69036
141.1252 16.72258 59.79939
141.3304 16.9085 59.14184
141.5365 16.66796 59.99533
141.7504 16.82239 59.4446
141.955 16.68811 59.92292
142.1589 16.80143 59.51875
142.36 16.76015 59.66536
142.5623 16.92721 59.07647
142.7656 16.84172 59.37634
142.9684 16.75456 59.68523
143.1727 17.23012 58.03791
143.3772 16.66201 60.01677
143.5799 16.98943 58.86011
143.7824 16.99594 58.83757
143.9852 16.7191 59.81184
144.1881 16.93147 59.06161
144.3921 17.11961 58.41254
144.5969 16.92244 59.09313
144.7992 16.66805 59.99502
145.0015 16.86683 59.28798
145.207 16.66955 59.9896
145.4117 17.126 58.39076
145.6147 16.98131 58.88827
145.8176 16.96702 58.93789
146.0196 16.69403 59.90167
146.2227 16.66573 60.00337
146.4259 16.87899 59.24524
146.6287 16.8827 59.23222
146.8307 16.72988 59.7733
147.0339 16.71556 59.8245
147.2389 17.02831 58.72573
147.4429 16.81468 59.47184
147.6448 16.8303 59.41666
147.8468 17.05203 58.64405
148.0493 16.79012 59.55882
148.2521 17.09649 58.49152
148.4562 16.66876 59.99247
148.6613 16.77786 59.60236
148.8637 17.58716 56.85965
149.0707 16.68055 59.95005
149.2759 17.10384 58.4664
149.4786 16.97716 58.90266
149.6806 16.7502 59.70077
149.8843 17.12447 58.39597
150.0875 17.04123 58.68121
150.2895 16.76598 59.6446
150.4916 17.10815 58.45168
150.694 16.92446 59.08607
150.8985 16.78299 59.58414
151.1021 16.93309 59.05598
151.3049 16.81042 59.48693
151.5093 16.84522 59.36401
151.7116 17.10594 58.45921
151.9147 16.95437 58.98185
152.118 16.66753 59.9969
152.3213 16.67222 59.98003
152.5255 16.7156 59.82435
152.7282 17.07222 58.57468
152.9328 17.25161 57.96561
153.1483 31.00675 32.25104
153.3543 16.90562 59.15191
153.5587 16.87988 59.24211
153.7641 17.14283 58.33343
153.9672 16.82647 59.43016
154.1734 16.91993 59.10189
154.3787 17.04404 58.67154
154.597 25.52064 39.18397
154.8085 17.14774 58.31674
155.0132 17.18174 58.20132
155.2168 17.21273 58.09652
155.42 17.13691 58.35359
155.623 17.08704 58.5239
155.8288 17.2557 57.95187
156.0325 16.90296 59.16125
156.2365 17.14036 58.34184
156.4403 17.07533 58.56403
156.6448 17.29758 57.81156
156.8482 17.07648 58.56008
157.0513 17.15042 58.30759
157.2541 16.94803 59.00389
157.4579 16.98853 58.86326
157.6605 17.09128 58.50938
157.8633 17.18249 58.1988
158.0675 17.19402 58.15976
158.27 16.70466 59.86352
158.4729 17.1039 58.46621
158.6878 28.48182 35.11012
158.8923 24.04289 41.59234
159.0974 18.13228 55.15025
159.3002 16.69643 59.89305
159.5032 16.79966 59.525
159.7055 16.84476 59.36565
159.9079 16.71067 59.84199
160.1104 17.00471 58.80722
160.3136 16.92252 59.09284
160.517 17.26042 57.93601
160.7201 16.83383 59.40419
160.9224 16.68347 59.93957
161.1255 16.90438 59.15625
161.3286 16.98693 58.86879
161.5314 16.66682 59.99945
161.7351 17.08495 58.53105
161.9375 16.82451 59.43709
162.1409 17.178 58.214
162.3433 17.0205 58.75266
162.546 16.76376 59.65249
162.7504 17.0632 58.60565
162.953 16.94875 59.00141
163.1587 19.0357 52.53288
163.3697 21.43203 46.65913
163.5736 16.71288 59.8341
163.7799 17.41926 57.40771
163.9849 16.94681 59.00816
164.1913 17.51951 57.07924
164.3974 21.21212 47.14286
164.6181 29.44353 33.96332
164.8319 29.8294 33.52397
165.0443 21.20538 47.15785
165.2579 16.82528 59.43437
165.4727 16.71964 59.80989
165.6871 16.97229 58.91956
165.9014 17.87071 55.95748
166.1016 17.02846 58.72522
166.3153 17.77095 56.27162
166.5316 18.84884 53.05366
166.7328 16.71863 59.8135
166.9489 16.66852 59.99334
167.1494 17.36772 57.57807
167.3658 18.23778 54.83123
167.5661 17.90377 55.85416
167.7721 19.08291 52.40291
167.9762 19.49687 51.29029
168.1857 25.45603 39.28342
168.3882 18.76656 53.28628
168.5924 19.3485 51.68361
168.7958 19.43414 51.45583
169.0069 20.33727 49.17081
169.2247 18.58308 53.81239
169.4327 20.63372 48.46436
169.6409 19.25028 51.94729
169.8497 21.62722 46.23803
170.0617 25.11241 39.82095
170.2752 23.03289 43.41617
170.4823 20.78396 48.11402
170.6972 16.73701 59.74785
170.9115 21.91523 45.63036
171.1213 20.0516 49.87134
171.3346 18.03869 55.4364
171.5381 19.32677 51.74172
171.7384 20.44249 48.91772
171.9457 20.9996 47.61996
172.1532 19.49977 51.28266
172.3535 23.402 42.73138
172.5728 20.38236 49.06204
172.7804 18.97948 52.68849
172.9982 19.22025 52.02846
173.2212 23.20013 43.1032
173.4218 24.82367 40.28413
173.6239 25.14867 39.76353
173.8285 17.23035 58.03711
174.0502 22.66965 44.11185
174.2535 27.99191 35.7246
174.4697 16.72747 59.78189
174.6886 19.12704 52.282
174.8892 19.24952 51.94935
175.0898 16.79555 59.53957
175.2902 18.63688 53.65704
175.5049 16.88004 59.24158
175.7096 17.12776 58.38475
175.9131 19.4726 51.35422
176.1296 16.82502 59.43528
176.345 17.34194 57.66368
176.5799 35.28832 28.33799
176.7951 18.31875 54.58887
177.0108 16.81205 59.48116
177.2173 31.12642 32.12705
177.4305 25.17787 39.71741
177.6516 22.09439 45.26036
177.8568 22.93337 43.60458
178.063 20.44086 48.92162
178.2769 21.3869 46.75761
178.4787 29.86194 33.48745
178.6958 22.30446 44.83408
178.9065 23.10206 43.28619
179.1172 19.41533 51.50571
179.32 17.01053 58.78713
179.5299 16.80582 59.50321
179.7399 17.51721 57.08673
179.9438 17.00891 58.7927
180.1462 16.9427 59.02248
